School,Conf,Coach, NCAAFBREV16 ,MedianConfSal, SchoolPay , TotalPay , Bonus , BonusPaid , PayPlusBonus2016 , Buyout , StadSize , Attendence2016 , AttendRank , Avg Attendence , Avg AttendenceRank , Graduation Rate (GSR) , PayRank , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame,OpponentPointsPerGame
Air Force,Mt. West,Troy Calhoun,"59,577,780.00","879,288.00","885,000.00","885,000.00","247,000.00",0,"885,000.00",0,"46,692.00","177,519.00",70,"29,587.00",67,83,37,60,97,64.67,67,10,3,3.33,4.96,-0.87,4.09,78.16,-16.88
Akron,MAC,Terry Bowden,"35,331,217.00","492,413.00","411,000.00","412,500.00","225,000.00","50,000.00","462,500.00","688,500.00","30,000.00","62,021.00",103,"10,337.00",102,45,7,20,5,10.67,129,5,7,0.71,-0.4,-6.12,-6.52,72.64,-8.13
Alabama,SEC,Nick Saban,"174,307,419.00","3,929,800.00","8,307,000.00","8,307,000.00","1,100,000.00","500,000.00","8,807,000.00","33,600,000.00","101,821.00","712,747.00",5,"101,821.00",4,79,126,124,84,111.33,5,14,1,14,8.01,17.62,25.62,90.38,-38.83
Alabama at Birmingham,C-USA,Bill Clark,"24,795,218.00","782,787.00","900,000.00","900,000.00","950,000.00","165,471.00","1,065,471.00","3,847,500.00","68,821.00",  ,  ,  ,  ,65,45,102,19,55.33,77,,,,,,,,
Appalachian State,Sun Belt,Scott Satterfield,"35,058,621.00","675,000.00","712,500.00","712,500.00","295,000.00","145,000.00","857,500.00","2,160,417.00","24,050.00","156,916.00",74,"26,153.00",72,57,35,11,13,19.67,122,10,3,3.33,-0.86,9.68,8.83,70.76,-25.81
Arizona,Pac-12,Kevin Sumlin,"90,976,758.00","2,752,232.50","1,600,000.00","2,000,000.00","2,025,000.00",0,"2,000,000.00","10,000,000.00","51,811.00","338,017.00",33,"48,288.00",36,74,64,73,60,65.67,62,3,9,0.33,1.01,-5.64,-4.63,74.42,-9.08
Arizona State,Pac-12,Herm Edwards,"101,579,860.00","2,752,232.50","2,000,000.00","2,000,000.00","3,010,000.00",0,"2,000,000.00","8,166,667.00","71,706.00","286,417.00",44,"47,736.00",37,74,64,107,60,77,45,5,7,0.71,5.89,-8.49,-2.6,79.22,-10.25
Arkansas,SEC,Chad Morris,"129,680,808.00","3,929,800.00","3,500,000.00","3,500,000.00","1,000,000.00",0,"3,500,000.00","12,500,000.00","72,000.00","487,067.00",18,"69,581.00",21,76,88,108,70,88.67,28,7,6,1.17,4.06,0.29,4.35,80.66,-19.15
Arkansas State,Sun Belt,Blake Anderson,"39,459,027.00","675,000.00","825,000.00","825,000.00","185,000.00","25,000.00","850,000.00","300,000.00","30,964.00","136,200.00",81,"22,700.00",78,76,33,33,70,45.33,90,8,5,1.6,-3.46,2.9,-0.56,70.41,-20.29
Army,Ind.,Jeff Monken,,"716,260.50","932,521.00","932,521.00",0,0,"932,521.00",0,"38,000.00","163,267.00",73,"32,653.00",61,76,39,47,70,52,82,8,5,1.6,-7.31,4.9,-2.41,74.12,-23.18
